ensembl_gene_id;gene_symbol
ENSRNOG00000059764;Snrpn
ENSRNOG00000048320;Ndufa11
ENSRNOG00000025584;Agap2
ENSRNOG00000052113;Ppp1r9b
ENSRNOG00000016156;Nptxr
ENSRNOG00000009066;Thra
ENSRNOG00000019980;Tomm20
ENSRNOG00000018237;Gstp1
ENSRNOG00000000105;Cplx2
ENSRNOG00000038074;LOC498555
ENSRNOG00000011705;Stmn2
ENSRNOG00000000054;Abhd8
ENSRNOG00000018337;Caly
ENSRNOG00000046705;Snx3
ENSRNOG00000042503;Ndufv2
ENSRNOG00000008810;Nsmf
ENSRNOG00000021110;Mllt11
ENSRNOG00000017571;Ndufa2
ENSRNOG00000014635;Clta
ENSRNOG00000017939;Chn1
ENSRNOG00000002928;Guk1
ENSRNOG00000006939;Ndufa7
ENSRNOG00000024539;Ndufb6
ENSRNOG00000003253;Qdpr
ENSRNOG00000008163;Atp6v1g1
ENSRNOG00000036688;Arhgdia
ENSRNOG00000015420;Stxbp1
ENSRNOG00000052620;Rack1
ENSRNOG00000046975;Sult4a1
ENSRNOG00000043210;Ppp3r1
ENSRNOG00000010365;Syn1
ENSRNOG00000008555;Rps20
ENSRNOG00000012457;Cyc1
ENSRNOG00000006375;Vdac1
ENSRNOG00000017673;Brsk1
ENSRNOG00000011817;Rpl22l1
ENSRNOG00000020941;Psenen
ENSRNOG00000027514;Ube2m
ENSRNOG00000024845;Mrps21
ENSRNOG00000024309;Cox6b1
ENSRNOG00000019908;Lamtor2
ENSRNOG00000048273;Apod
ENSRNOG00000010038;Psmc5
ENSRNOG00000030019;Atp1a1
ENSRNOG00000009198;Rab6b
ENSRNOG00000011104;Rpl22
ENSRNOG00000006471;Pvalb
ENSRNOG00000055257;Selenof
ENSRNOG00000027503;Rps25
ENSRNOG00000042869;Atp5md
ENSRNOG00000007290;Atp1a2
ENSRNOG00000026646;Ndufs5
ENSRNOG00000001185;RGD1311899
ENSRNOG00000022432;Tmem59l
ENSRNOG00000007648;Rab11b
ENSRNOG00000032699;Ttyh1
ENSRNOG00000029165;Stx1a
ENSRNOG00000010184;Brk1
ENSRNOG00000017123;B2m
ENSRNOG00000034246;Rps27a
ENSRNOG00000008994;Arpc4
ENSRNOG00000015385;Pink1
ENSRNOG00000001488;Psmb1
ENSRNOG00000019277;Vdac3
ENSRNOG00000016410;Prelid1
ENSRNOG00000017444;Nrsn1
ENSRNOG00000017496;Cnp
ENSRNOG00000020970;Rundc3a
ENSRNOG00000014573;Ckmt1
ENSRNOG00000015221;Eif3f
ENSRNOG00000003365;Cadm3
ENSRNOG00000010580;Acot7
ENSRNOG00000009029;Nptn
ENSRNOG00000000990;Pdap1
ENSRNOG00000046280;Tceal5
ENSRNOG00000021175;Otub1
ENSRNOG00000060229;Arf1
ENSRNOG00000001494;Napa
ENSRNOG00000021269;Chgb
ENSRNOG00000058412;Morf4l1
ENSRNOG00000013658;Nefl
ENSRNOG00000018176;Rab6a
ENSRNOG00000008937;Csrp1
ENSRNOG00000006426;Syt1
ENSRNOG00000020979;Psmb4
ENSRNOG00000033261;Fam107a
ENSRNOG00000003198;RGD1305733
ENSRNOG00000050563;Sub1
ENSRNOG00000016356;Got1
ENSRNOG00000012985;Pfdn5
ENSRNOG00000007330;Capzb
ENSRNOG00000011282;Ppp2r1a
ENSRNOG00000001346;Cops6
ENSRNOG00000000938;Ran
ENSRNOG00000049020;Tceal6
ENSRNOG00000058478;Mapk8ip1
ENSRNOG00000006075;Fez1
ENSRNOG00000015753;Epn1
ENSRNOG00000012786;Pgrmc1
ENSRNOG00000021067;Fxyd7
ENSRNOG00000000610;Cisd1
ENSRNOG00000013536;Cdc42
ENSRNOG00000018712;Camk2a
ENSRNOG00000008218;Atp6v0e2
ENSRNOG00000052080;Camk2b
ENSRNOG00000001415;Ap1s1
ENSRNOG00000012081;Txn1
ENSRNOG00000005700;Nsg1
ENSRNOG00000017036;Sec11c
ENSRNOG00000011825;Ndufb3
ENSRNOG00000024128;Aco2
ENSRNOG00000012393;S100a13
ENSRNOG00000019987;Scand1
ENSRNOG00000010170;Tubb4b
ENSRNOG00000037793;Cdk5r2
ENSRNOG00000034161;Cox6b1
ENSRNOG00000017737;Dgkz
ENSRNOG00000005203;Sec61g
ENSRNOG00000004613;Gpm6b
ENSRNOG00000048342;Tbca
ENSRNOG00000001239;Ddt
ENSRNOG00000028746;Gsto1
ENSRNOG00000032134;Uqcrc1
ENSRNOG00000056853;Psma7
ENSRNOG00000015733;Myl12b
ENSRNOG00000024186;Eef1b2
ENSRNOG00000019804;B3gat3
ENSRNOG00000022681;RGD1561113
ENSRNOG00000050519;Rhoa
ENSRNOG00000010239;Cnbp
ENSRNOG00000013961;Ghitm
ENSRNOG00000016474;Tspan3
ENSRNOG00000055579;Tmbim6
ENSRNOG00000003220;H3f3b
ENSRNOG00000029450;AABR07058422.1
ENSRNOG00000018117;Ndufv1
ENSRNOG00000004629;Fkbp3
ENSRNOG00000003846;Pitpna
ENSRNOG00000052730;Psmb3
