"geneID","gene.name","mean.log2.pfkm","fdr.hemisphere","fdr.treatment","fdr.interaction"
"ENSRNOG00000009284","Foxa1",0,NA,NA,NA
"ENSRNOG00000009285","Eipr1",5.08718612622636,0.823515469547758,0.768586055188283,0.999999999999993
"ENSRNOG00000009286","Noxa1",0.0831397254569146,NA,NA,NA
"ENSRNOG00000009288","Fgf14",2.18342335898031,0.910559772308485,0.679030595451446,0.999999999999993
"ENSRNOG00000009289","Galk2",3.72423710671008,0.823515469547758,0.81533929824208,0.999999999999993
"ENSRNOG00000009290","Nup35",3.183625845065,0.823515469547758,0.743083652306486,0.999999999999993
"ENSRNOG00000009291","Dnase1l3",0.0680325380926215,NA,NA,NA
"ENSRNOG00000009296","Snapc1",2.85592236942507,0.964734595639178,0.500522891343967,0.999999999999993
"ENSRNOG00000009297","Chchd1",6.95983689256276,0.823515469547758,0.99352340056226,0.999999999999993
"ENSRNOG00000009298","Fbxo44",6.43455866978336,0.830014353888686,0.3868035710996,0.999999999999993
"ENSRNOG00000009299","Adra2c",4.73474853157885,0.986255069136544,0.517021799493026,0.999999999999993
"ENSRNOG00000009300","LOC103690017",1.53763494972672,0.891813107951092,0.849666142873242,0.999999999999993
"ENSRNOG00000009302","Zfp623",2.14472737123463,0.823515469547758,0.583756563901703,0.999999999999993
"ENSRNOG00000009303","Zwilch",1.05936347611564,0.958777531425357,0.50607551087006,0.999999999999993
"ENSRNOG00000009308","Bcl2l10",0.439710618025361,NA,NA,NA
"ENSRNOG00000009309","Meaf6",4.6763630589213,0.937824403961164,0.96371698431386,0.999999999999993
"ENSRNOG00000009310","Nmd3",3.14395377348243,0.823515469547758,0.955955464905857,0.999999999999993
"ENSRNOG00000009311","Fstl3",0.657186247077765,NA,NA,NA
"ENSRNOG00000009313","Lrpap1",5.72417311690162,0.823515469547758,0.675850021072799,0.999999999999993
"ENSRNOG00000009314","AABR07012307.1",0,NA,NA,NA
"ENSRNOG00000009316","Bmp10",0.0159720822814556,NA,NA,NA
"ENSRNOG00000009318","Ttll5",2.96202326008999,0.840771570233639,0.595013154760075,0.999999999999993
"ENSRNOG00000009322","Ccdc126",3.04018738776431,0.823515469547758,0.472128498003668,0.999999999999993
"ENSRNOG00000009323","Fam214b",3.14391371804355,0.869260415510005,0.767223857242993,0.999999999999993
"ENSRNOG00000009324","LOC103692166",0.00236297019217505,NA,NA,NA
"ENSRNOG00000009325","Fuca1",5.49671575837907,0.823515469547758,0.641079944322664,0.999999999999993
"ENSRNOG00000009326","Smcp",0,NA,NA,NA
"ENSRNOG00000009329","Nr1d1",5.89839603322312,0.823515469547758,0.483928243132471,0.999999999999993
"ENSRNOG00000009330","Slc17a5",2.94403930409636,0.936767320263385,0.710739465215131,0.999999999999993
"ENSRNOG00000009331","Hck",1.53281028998056,0.829860759123922,0.765905100254462,0.999999999999993
"ENSRNOG00000009332","Rec114",0.654745824150794,NA,NA,NA
"ENSRNOG00000009333","Osgep",3.58752706243567,0.823515469547758,0.74807875326177,0.999999999999993
"ENSRNOG00000009334","Knstrn",0.26171188473683,NA,NA,NA
"ENSRNOG00000009336","Mapk15",1.29509751353738,0.837327815482403,0.568543127540104,0.999999999999993
"ENSRNOG00000009338","Kras",3.6858264730863,0.847677963385068,0.698837027497496,0.999999999999993
"ENSRNOG00000009339","Cenpe",0.145185852331366,NA,NA,NA
"ENSRNOG00000009340","Zbtb6",1.9474902114494,0.873962875972075,0.678392812321822,0.999999999999993
"ENSRNOG00000009341","Hivep3",1.97227708130084,0.823515469547758,0.800588237093868,0.999999999999993
"ENSRNOG00000009342","Fcnb",0.0964944819991968,NA,NA,NA
"ENSRNOG00000009343","Evpl",0.207252284905067,NA,NA,NA
"ENSRNOG00000009345","Ugt8",4.19408195007769,0.828337965534472,0.43018272312927,0.999999999999993
"ENSRNOG00000009346","Zbtb26",0.72592832021981,NA,NA,NA
"ENSRNOG00000009347","Arhgap25",3.19553919768641,0.869107364339681,0.729262870252706,0.999999999999993
"ENSRNOG00000009348","Nos3",1.34166559151115,0.823515469547758,0.420263346933815,0.999999999999993
"ENSRNOG00000009350","Sez6",5.81285011165728,0.823515469547758,0.94394124758802,0.999999999999993
"ENSRNOG00000009351","Srp68",5.00585601983943,0.957473238805932,0.495390097252921,0.999999999999993
"ENSRNOG00000009354","Nrarp",3.31458717739233,0.828395145840009,0.767223857242993,0.999999999999993
"ENSRNOG00000009355","Ogfr",4.92362538751907,0.901912428855659,0.165083147439782,0.999999999999993
"ENSRNOG00000009358","Osgin2",2.64709553340016,0.823515469547758,0.31396731718149,0.999999999999993
"ENSRNOG00000009360","Sh3bp1",2.80835476918017,0.920697996114635,0.246908370551279,0.999999999999993
"ENSRNOG00000009364","Ndufb9",9.52751369355345,0.823515469547758,0.805673707740602,0.999999999999993
"ENSRNOG00000009369","Tor4a",1.90153575433743,0.848192147694893,0.914422122695616,0.999999999999993
"ENSRNOG00000009370","Tbkbp1",4.25001229202858,0.844650563986979,0.44661582313726,0.999999999999993
"ENSRNOG00000009371","Abl1",1.25029358657796,0.920286748882574,0.559753743560731,0.999999999999993
"ENSRNOG00000009372","Tacr3",2.12978854168165,0.823875025564177,0.660823753560564,0.999999999999993
"ENSRNOG00000009373","RGD1562690",4.51655447557418,0.823515469547758,0.864437588404007,0.999999999999993
"ENSRNOG00000009376","Olr440",0,NA,NA,NA
"ENSRNOG00000009377","Nelfb",5.52759668756511,0.827990198407057,0.819753636442467,0.999999999999993
"ENSRNOG00000009378","Rpl4",9.15963659901514,0.823515469547758,0.72669980456001,0.999999999999993
"ENSRNOG00000009381","Mapk6",4.26935495468885,0.907677421294629,0.50607551087006,0.999999999999993
"ENSRNOG00000009382","AABR07052486.1",1.5671509389189,0.823515469547758,0.499653764948374,0.999999999999993
"ENSRNOG00000009383","LOC102552326",0,NA,NA,NA
"ENSRNOG00000009385","Pik3cg",0.743320639351142,NA,NA,NA
"ENSRNOG00000009388","Sptssb",3.35298991560037,0.823515469547758,0.957634022309665,0.999999999999993
"ENSRNOG00000009389","Ripk2",2.09044809453133,0.823515469547758,0.875926052238202,0.999999999999993
"ENSRNOG00000009390","Edn2",0,NA,NA,NA
"ENSRNOG00000009397","Kbtbd4",4.25264991195577,0.872527313814715,0.383418416992618,0.999999999999993
"ENSRNOG00000009398","Tceanc2",3.51854420978618,0.823515469547758,0.728845973717201,0.999999999999993
"ENSRNOG00000009399","Fads2l1",0.0249134349850902,NA,NA,NA
"ENSRNOG00000009401","Lmo2",3.11139857212255,0.987156301149553,0.317069992958091,0.999999999999993
"ENSRNOG00000009402","Rabgap1",3.85838920783066,0.885211967677626,0.517021799493026,0.999999999999993
"ENSRNOG00000009403","Dcaf17",0.512620796567982,NA,NA,NA
"ENSRNOG00000009406","Tm9sf4",3.8763074140431,0.823515469547758,0.736097699166868,0.999999999999993
"ENSRNOG00000009409","Fbxo2",7.68837310936742,0.922814576277802,0.47251707481777,0.999999999999993
"ENSRNOG00000009411","Chn2",3.75597786744611,0.829860759123922,0.166838882133742,0.999999999999993
"ENSRNOG00000009412","Lrch1",1.20565427939114,0.890765423581855,0.875941901499571,0.999999999999993
